title,exercise_path,url,target_muscles,synergist_muscles,stabilizer_muscles,description,equipment
Rear Delt Row Incline Bench (Dumbbell),/exercise/1446,https://app.strength.muscleandmotion.com/exercise/1446,Posterior Deltoid,Rhomboid Muscles; Middle Trapezius; Infraspinatus; Teres Minor,Upper Trapezius; Lower Trapezius; Erector Spinae,"The Rear Delt Row on an incline bench is an isolation exercise for the posterior deltoid. The incline bench supports the chest, which helps reduce momentum and allows focus on the rear delt. Lie chest-down on an incline bench, with a dumbbell in each hand and arms hanging straight down. Use a neutral or pronated grip. Pull the dumbbells by raising your elbows above your shoulder line. Slowly lower the weights back to the starting position and repeat for the design number of repetitions.",Bench; Dumbbell
Rear Lunge,/exercise/191,https://app.strength.muscleandmotion.com/exercise/191,Quadriceps Femoris; Gluteus Maximus,Adductor Magnus; Soleus; Hamstrings; Gastrocnemius; Biceps Femoris Long Head (Hamstring) (4); Semimembranosus (Hamstring) (1); Semitendinosus (Hamstring) (2),Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus; Hip Adductor Muscles; Abdominal Muscles; Transversospinales Muscles; Pelvic Diaphragm; Pelvic Diaphragm,,
Rear Lunge (Dumbbell),/exercise/192,https://app.strength.muscleandmotion.com/exercise/192,Quadriceps Femoris; Gluteus Maximus,Adductor Magnus; Soleus; Hamstrings; Gastrocnemius,Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus; Hip Adductor Muscles; Levator Scapulae; Upper Trapezius,,Dumbbell
Rear Lunges (Resistance Band),/exercise/257,https://app.strength.muscleandmotion.com/exercise/257,Quadriceps Femoris; Gluteus Maximus,Adductor Magnus; Soleus; Hamstrings; Gastrocnemius,Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus; Hip Adductor Muscles; Abdominal Muscles; Transversospinales Muscles; Pelvic Diaphragm,,Resistance Band
Rear Row (Bar) - Advanced Variation,/exercise/1396,https://app.strength.muscleandmotion.com/exercise/1396,Posterior Deltoid; Rhomboid Muscles; Middle Trapezius,Infraspinatus; Middle Deltoid; Teres Minor; Trapezius; Rhomboid Muscles; Brachioradialis; Biceps Brachii; Brachialis,Erector Spinae; Gluteus Maximus; Hamstrings; Spinalis,"This is an advanced variation of the rear row. In this version, your body is nearly parallel to the ground, which increases the difficulty of pulling your bodyweight up. Hold the bar with both hands wider than shoulder-width, your elbows straight, and your body elongated. Pull your chest toward the bar while your elbows point to the sides. Slowly go back to the starting position and repeat.",Bodyweight
Rear Row (Bodyweight),/exercise/258,https://app.strength.muscleandmotion.com/exercise/258,Posterior Deltoid; Rhomboid Muscles; Middle Trapezius,Infraspinatus; Middle Deltoid; Teres Minor; Trapezius; Rhomboid Muscles; Brachioradialis; Biceps Brachii; Brachialis,Erector Spinae; Gluteus Maximus; Hamstrings; Spinalis,"Set the bar around waist height. The lower the bar, the more difficult the movement becomes. Hold the bar with both hands slightly wider than shoulder-width, so you'll be able to row effectively with elbows at shoulder height, and keep your body as straight as possible. Pull yourself up to the bar until your chest touches the bar. Your elbows should be pointing outward during the entire movement. Slowly return to the starting position and repeat.",Bodyweight
Rear Row Fly,/exercise/259,https://app.strength.muscleandmotion.com/exercise/259,Posterior Deltoid; Rhomboid Muscles; Middle Trapezius,Infraspinatus; Teres Minor; Upper Trapezius; Lower Trapezius,Erector Spinae; Levator Scapulae; Spinalis; Triceps Brachii; Spinalis; Triceps Brachii,,
Rebounding Jumps (Box),/exercise/721,https://app.strength.muscleandmotion.com/exercise/721,Quadriceps Femoris; Gluteus Maximus; Gastrocnemius,Hamstrings; Soleus; Flexor Hallucis Longus; Flexor Digitorum Longus; Tibialis Posterior,Erector Spinae; Abdominal Muscles; Pelvic Diaphragm; Diaphragm,"Stand on the box, step off like you are falling down to the floor and as soon you touch the ground jump up back to the box (rebounding). Use this plyometric exercise to improve the explosive and reactive properties of your legs and to activate the stretch-shortening cycle. Reactive jump demonstrates an athlete’s ability to rapidly change from an eccentric motion into a concentric muscular contraction and is an expression of their dynamic explosive vertical jump capacity.",
Renegade Row (Kettlebell),/exercise/465,https://app.strength.muscleandmotion.com/exercise/465,Latissimus Dorsi; Abdominal Muscles,Posterior Deltoid; Teres Major; Biceps Brachii,Abdominal Muscles; Iliacus; Psoas Major; Transversospinales Muscles; Quadriceps Femoris,The plank body position heightens core muscle activity.,Kettlebell
Reverse Crunch,/exercise/854,https://app.strength.muscleandmotion.com/exercise/854,Rectus Abdominis,External Oblique; Internal Oblique,Iliacus; Psoas Major; Tensor Fasciae Latae,"Lie down on the back, legs in the air. Hold the bench, raise the pelvis and lower it slowly.",Bench
Reverse Crunch (Bodyweight),/exercise/262,https://app.strength.muscleandmotion.com/exercise/262,Rectus Abdominis,External Oblique; Internal Oblique,Pelvic Diaphragm; Transversus Abdominis,"The Reverse Crunch is a bodyweight exercise that primarily targets the lower abdominal muscles. It’s unique because it focuses on lifting the hips off the ground rather than curling the upper body, which enhances the engagement of the lower abs and improves core stability. Lie on your back with your knees bent and your feet lifted off the ground. Place your arms at your sides, palms down for support. Engage your core and lift your hips from the ground, curling your knees toward your chest. Keep your upper back and shoulders on the floor. Slowly lower your hips back to the starting position and repeat for the desired number of repetitions.",Bodyweight
Reverse Crunch (Stability Ball),/exercise/646,https://app.strength.muscleandmotion.com/exercise/646,Hip Adductor Muscles; Rectus Abdominis,External Oblique; Internal Oblique,Latissimus Dorsi; Iliacus; Psoas Major,,Stability Ball
Reverse Curl (Barbell),/exercise/966,https://app.strength.muscleandmotion.com/exercise/966,Brachialis,Biceps Brachii; Brachioradialis,Trapezius; Erector Spinae,"Grab the bar at shoulder width and grip the top of the bar with your hands (pronated grip), and not underneath as they would be in a regular curl. The pronated grip engages the Brachialis muscle more than the supinated grip that targets the Biceps.",Barbell
Reverse Elbow Plank,/exercise/1002,https://app.strength.muscleandmotion.com/exercise/1002,,,,It targets the posterior muscles (those at the backside of the body) and the core muscles. Start by lying on your back with the elbows below the shoulders. Lift your hips off the ground and bring your body into a straight line position from ears to ankles. Hold for 10-20 seconds. Relax and repeat.,
Reverse Fly (Machine),/exercise/1270,https://app.strength.muscleandmotion.com/exercise/1270,Posterior Deltoid,Infraspinatus; Trapezius; Rhomboid Muscles,Triceps Brachii; Erector Spinae,"Sit on a reverse flying machine and hold the handles with your hands. Your arms should be parallel to the ground, and your elbows should slightly flexed. Go back to the starting position and repeat.",Machine
Reverse Fly (Straps),/exercise/363,https://app.strength.muscleandmotion.com/exercise/363,Posterior Deltoid,Infraspinatus; Middle Deltoid; Teres Minor; Trapezius; Rhomboid Muscles; Brachialis; Brachioradialis; Biceps Brachii,External Oblique; Erector Spinae; Levator Scapulae,"Grab the strap handles and walk your feet in front of you, lean back, until your torso is at a 45 degree angle. Start with your arms straight out in front of you, then squeeze your back as you open your arms wide, keeping a slight bend at the elbows. Return slowly to start. Make sure to keep your back in a straight line.",Straps
"Reverse Fly, Low (Straps)",/exercise/187,https://app.strength.muscleandmotion.com/exercise/187,Latissimus Dorsi; Erector Spinae; Multifidus,"Posterior Deltoid; Triceps Brachii, Long Head; Rhomboid Muscles; Middle Trapezius",Gluteus Maximus; Hamstrings; Abdominal Muscles; Erector Spinae; Pelvic Diaphragm,,Straps
Reverse Flys (Cable),/exercise/263,https://app.strength.muscleandmotion.com/exercise/263,Posterior Deltoid,Infraspinatus; Middle Deltoid; Teres Minor; Trapezius; Rhomboid Muscles; Brachialis; Brachioradialis; Biceps Brachii,External Oblique; Erector Spinae; Levator Scapulae,"Your arms should move directly back and slightly down, almost parallel to the floor.",Cable
Reverse Flys (Resistance Band),/exercise/264,https://app.strength.muscleandmotion.com/exercise/264,Posterior Deltoid,Infraspinatus; Middle Deltoid; Teres Minor; Trapezius; Rhomboid Muscles; Brachialis; Brachioradialis; Biceps Brachii,Abdominal Muscles; Multifidus; Transversus Abdominis; Pelvic Diaphragm; Erector Spinae; Levator Scapulae,,Resistance Band
Reverse Frog Hypers,/exercise/1135,https://app.strength.muscleandmotion.com/exercise/1135,Gluteus Maximus,Hamstrings,Erector Spinae; Biceps Brachii; Brachialis; Brachioradialis; Latissimus Dorsi,"This exercise targets the Gluteus Maximus and Erector Spinae. Lie face down on a bench, chest and lower abdomen on the bench, and legs off the bench. Then, raise the legs (extend the hip) and lower them back down.",Bench
Reverse Grip Lat Pull-down (Cable),/exercise/165,https://app.strength.muscleandmotion.com/exercise/165,Latissimus Dorsi,"Teres Major; Posterior Deltoid; Pectoralis Major, Costal Head; Rhomboid Muscles; Lower Trapezius; Middle Trapezius; Levator Scapulae; Biceps Brachii; Brachialis; Brachioradialis",Abdominal Muscles; Wrist Flexors; Subscapularis; Infraspinatus; Teres Minor; Supraspinatus; Transversospinales Muscles; Pelvic Diaphragm,"In this pulldown variation the trainee performs shoulder extension in the sagittal plane, in contrast to the broad pulldown in which arm movement is in the frontal plane.",Cable
Reverse Hip and Lumbar Extension,/exercise/1004,https://app.strength.muscleandmotion.com/exercise/1004,Erector Spinae; Gluteus Maximus,Transversospinales Muscles; Intersegmental Muscles; Hamstrings,Biceps Brachii; Brachioradialis; Brachialis; Trapezius,"Begin by lying face down on a bench, placing the pelvis at the end of the bench so that it’s free to move, and hold the bench from below. Raise the legs and pelvis until the body is in a straight line. Hold for 5-10 seconds, relax and repeat.",Bench
Reverse Hip Extension,/exercise/1005,https://app.strength.muscleandmotion.com/exercise/1005,Gluteus Maximus,Hamstrings,Erector Spinae; Brachialis; Brachioradialis; Biceps Brachii; Trapezius,"Begin by lying face down on a bench, placing the pelvis at the end of the bench so that it’s free to move, and hold the bench from below. Raise the legs and pelvis until the body is in one straight line. Hold for 5-10 seconds, relax and repeat.",Bench
Reverse Lunge (BOSU Dome Up),/exercise/872,https://app.strength.muscleandmotion.com/exercise/872,Gluteus Maximus; Quadriceps Femoris,Hamstrings; Gastrocnemius; Soleus; Adductor Magnus,Abdominal Muscles; Gluteus Medius; Hip Adductor Muscles; Erector Spinae; Pelvic Diaphragm; Peroneus Brevis; Peroneus Longus; Peroneus Tertius; Tibialis Anterior,"BOSU Dome Backward Lunge Stand erect on a BOSU Take a step backward, letting the pelvis sink, push back upward to a standing position while lifting the knee toward the chest. To reduce difficulty in maintaining balance, hold onto a wall or some other static object.",BOSU
Reverse Lunge (Sandbag),/exercise/923,https://app.strength.muscleandmotion.com/exercise/923,Gluteus Maximus; Quadriceps Femoris,Gastrocnemius; Soleus; Hamstrings,Erector Spinae; Transversus Abdominis; Diaphragm; Pelvic Diaphragm,"The active leg is the front leg, and the aim is to transfer all the weight to this leg, where the back leg serves only for support. Transferring part of the weight to the back leg while descending will reduce the load on the front leg and ease in a case of balance problems.",Sandbag
Reverse Lunge Thruster (Barbell),/exercise/1213,https://app.strength.muscleandmotion.com/exercise/1213,Gluteus Maximus; Quadriceps Femoris; Deltoid,Hamstrings; Serratus Anterior; Trapezius; Triceps Brachii,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm,The reverse lunge thruster with barbell is a complex combination of a lunge and an overhead press. The lunge should provide the momentum to drive the Barbell up and into the top position. Start by performing a reverse lunge as you accelerate up to a standing position and push the barbell over your head as you would do in a thruster.,Barbell
Reverse Lunge Thruster (Dumbbell),/exercise/673,https://app.strength.muscleandmotion.com/exercise/673,Gluteus Maximus; Quadriceps Femoris; Deltoid,Hamstrings; Serratus Anterior; Trapezius; Triceps Brachii,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm,The reverse lunge thruster is a complex combination of a lunge and overhead press. The lunge should provide the momentum to drive the dumbbell up and into the top position.,Dumbbell
Reverse Lunge with Rotation,/exercise/195,https://app.strength.muscleandmotion.com/exercise/195,Gluteus Maximus; Quadriceps Femoris,Piriformis (Hip Rotators) (3); Hamstrings; Gluteus Medius,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm,,
Reverse Lunges with Medial Band Pull (Dumbbells),/exercise/1390,https://app.strength.muscleandmotion.com/exercise/1390,Quadriceps Femoris; Gluteus Maximus; Gluteus Medius,Hamstrings; Gastrocnemius; Soleus; Piriformis (Hip Rotators) (3); Hip External Rotators (Deep Layer),Transversus Abdominis; Erector Spinae; Gluteus Medius,"The Reverse Lunges with Medial Band Pull and dumbbells is a Reactive Neuromuscular Training exercise (RNT). Attach a band slightly above your knee on the front leg and hold a dumbbell in each hand. Step backward with one leg, transferring most of the load to the front leg. Lower your body until your back knee contacts the ground. Push through the front leg to return to the starting position, ensuring your torso remains upright.",Dumbbell
Reverse Lunges with Medial Band Pull (RNT),/exercise/1341,https://app.strength.muscleandmotion.com/exercise/1341,Quadriceps Femoris; Gluteus Maximus; Gluteus Medius,Hamstrings; Gastrocnemius; Soleus; Piriformis (Hip Rotators) (3); Hip External Rotators (Deep Layer),Transversus Abdominis; Erector Spinae; Gluteus Medius,"The Reverse Lunges with Medial Band Pull is a Reactive Neuromuscular Training exercise (RNT). Step backward with one leg, transferring most of the load to the front leg. Lower your body until your back knee makes contact with the ground. Push through the front leg to return to the starting position, ensuring your torso remains upright.",
Reverse Nordic Curl,/exercise/1141,https://app.strength.muscleandmotion.com/exercise/1141,Quadriceps Femoris,,Abdominal Muscles,"Grab a mat, or make sure you’re on a soft surface. Kneel down and sit on the top of your feet. Lower the shoulders toward the floor by bending the knee, while maintaining a straight back. Continue to lean back as far as you can control, then squeeze the Quads slowly to return to the starting position. It is crucial to not let the hips drop backward at any point during the movement. Maintain slow and controlled movement.",
Reverse Plank,/exercise/1003,https://app.strength.muscleandmotion.com/exercise/1003,Gluteus Maximus; Erector Spinae,Hamstrings; Transversospinales Muscles; Intersegmental Muscles,Gluteus Maximus; Erector Spinae; Pelvic Diaphragm; Diaphragm; Hamstrings; Triceps Brachii; Trapezius; Rhomboid Muscles; Transversospinales Muscles; Intersegmental Muscles,"It targets the posterior muscles (those along the backside of the body) and the entire core muscles. Start by sitting on the floor with your legs out in front of you. Place your hands on the ground, then push up and lift your body until creating a straight line from head to toe. Keep your arms and legs straight and brace your abs while maintaining the pelvis high. Hold for 10-20 seconds. Relax and repeat.",
Reverse Plank to Seated Pike,/exercise/1343,https://app.strength.muscleandmotion.com/exercise/1343,Gluteus Maximus; Erector Spinae; Rectus Abdominis; Anterior Deltoid,Hamstrings; Serratus Anterior; Pectoralis Major (Respiration); Quadriceps Femoris,,"Start by positioning yourself in a reverse plank position. Place your hands directly beneath your shoulders and fully extend your knees and hips. Place your heels on a slider or a towel, ensuring your body forms a straight line. With your core muscles engaged, transition into the seated pike position by gradually moving your lower body backward while your heels slide on the ground. Focus on maintaining control and stability throughout the movement. Continue the transition until you achieve the seated pike position, where your hips are flexed, and your legs are extended in front of you, forming a V shape with your torso.",
Reverse Rotational Lunge & Knee-up,/exercise/1391,https://app.strength.muscleandmotion.com/exercise/1391,Gluteus Maximus; Quadriceps Femoris; Hip External Rotators (Deep Layer),Hamstrings; Gastrocnemius; Soleus; Psoas Major; Iliacus,Abdominal Muscles; Erector Spinae; Diaphragm; Pelvic Diaphragm,"The Reverse Rotational Lunge and Knee-up is an asymmetric lunge variation where the trainee performs a rear lunge. After completing the lunge, instead of returning to the starting position, there is an added knee lift before returning to the starting standing position. Start by standing with both feet together, take a step backward and get into a lunge position while at the same time rotating your torso toward the front leg. Your back knee should be bent and close to the ground, and your front knee should be at a 90-degree angle. Push back up and lift your knee up toward your opposite arm, and repeat.",
Reverse Scoop Throw (Medicine Ball),/exercise/506,https://app.strength.muscleandmotion.com/exercise/506,,"Hamstrings; Pectoralis Major, Clavicular Head; Soleus",Abdominal Muscles; Erector Spinae; Diaphragm; Pelvic Diaphragm,"Aside from the active muscles, additional target muscles are the core muscles that stabilize the torso. Moving arms down and up while extending the hip hinge axis challenges the core muscles.",
Reverse Stepping Chop (Training Bar),/exercise/547,https://app.strength.muscleandmotion.com/exercise/547,External Oblique; Internal Oblique; Pectoralis Major; Gluteus Maximus,Multifidus; Rotatores; Gluteus Medius; Anterior Deltoid,Abdominal Muscles; Erector Spinae,,
Reverse Zercher Lunge (Barbell),/exercise/1421,https://app.strength.muscleandmotion.com/exercise/1421,Gluteus Maximus; Quadriceps Femoris,Hamstrings; Gastrocnemius; Soleus; Adductor Magnus,Gluteus Medius; Erector Spinae; Abdominal Muscles; Pelvic Diaphragm; Diaphragm; Deltoid,"Placing the barbell in front of the body creates a relatively large rotational movement and pulls the body forward. This allows the trainee to lean back slightly and keep the body almost completely vertical to the floor. Stand straight and place a barbell at the crease of your elbows. Step into a reverse lunge, take one foot backward and lower your hips so the front knee bends to a 90-degree angle and the back knee nearly touches the ground. Return to the standing position. Repeat for the desired number of repetitions.",Barbell
Rod Plank (Straps),/exercise/239,https://app.strength.muscleandmotion.com/exercise/239,Rectus Abdominis; External Oblique; Transversus Abdominis; Erector Spinae,Multifidus; Diaphragm; Pelvic Diaphragm; Psoas Major,Triceps Brachii; Quadriceps Femoris; Serratus Anterior,"When activating the abdominal muscles in the stabilizing aspect, using a rod helps the trainee to feel his body and achieve proper posture. Creating three points of contact between the rod and the back: C. Nape / back of the head.",Straps
Roll Back Throw (Medicine Ball),/exercise/509,https://app.strength.muscleandmotion.com/exercise/509,Iliacus; Psoas Major; Anterior Deltoid; Rectus Abdominis; Deltoid,"Triceps Brachii; Pectoralis Major, Clavicular Head",Abdominal Muscles; Iliacus; Psoas Major; Sartorius; Tensor Fasciae Latae; Pelvic Diaphragm; Diaphragm,"Medicine-Ball, Roll Back Throw The main muscles that connect the legs and the upper body and actually pull the body into sitting position are the hip flexors.",Medicine-Ball
Roll-up,/exercise/629,https://app.strength.muscleandmotion.com/exercise/629,Psoas Major; Iliacus; Rectus Abdominis,Sartorius; Tensor Fasciae Latae; External Oblique; Internal Oblique,Abdominal Muscles; Pelvic Diaphragm; Diaphragm,"Lie on your back with your shoulders fully extended, and keep your legs straight with your toes pointing upward. Bring your hands together and reach toward your feet while flexing your spine and lifting your lower back from the floor. ‎ With control, return to the starting position and repeat for the required number of repetitions.",
Rolling Pistol Squat (Bodyweight),/exercise/1344,https://app.strength.muscleandmotion.com/exercise/1344,Quadriceps Femoris; Gluteus Maximus; Rectus Abdominis,Gastrocnemius; Hamstrings; Adductor Magnus; Soleus,Abdominal Muscles; Erector Spinae; Gluteus Medius,"The Rolling Pistol Squat is a very challenging variation of the Single-leg Squat that demands a high level of balance, control, spinal flexion mobility, and leg strength. Start by standing with your feet hip-width apart and your arms extended in front of you for balance. Lift one leg off the ground and keep it slightly raised in front of you. Slowly and with control, descend into the bottom of the pistol squat. As you get closer to the ground, gently roll onto your back and lift your legs off the ground for momentum. Use the momentum to roll back up and return to the bottom of the pistol squat. Push through your bent leg and stand back up to starting position. Repeat for the desired number of repetitions and alternate between legs.",Bodyweight
Rollout (Ab Wheel),/exercise/631,https://app.strength.muscleandmotion.com/exercise/631,Latissimus Dorsi; Iliacus; Psoas Major; Rectus Abdominis,"Pectoralis Major; Teres Major; Triceps Brachii, Long Head; Internal Oblique; External Oblique",Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm,"We must maintain a straight back (neutral spine) throughout the entire range of motion. The abdominal muscles stabilize the chest from the top and the pelvis from the bottom. Contraction of the abdominal muscles (and especially the transversus abdominis) increases Intra-Abdominal Pressure (IAP), thus preventing pressure on the lower vertebrae.",
Rollout (Stability Ball),/exercise/636,https://app.strength.muscleandmotion.com/exercise/636,Abdominal Muscles; Latissimus Dorsi,Psoas Major; Iliacus,Abdominal Muscles; Pelvic Diaphragm; Latissimus Dorsi; Pectoralis Major (Respiration),"We must maintain a straight back (neutral spine) throughout the entire range of motion. The abdominal muscles stabilize the chest from the top and the pelvis from the bottom. Contraction of the abdominal muscles (and especially the transversus abdominis) increases Intra-Abdominal Pressure (IAP), thus preventing pressure on the lower vertebrae.",Stability Ball
Romanian Deadlift (Barbell),/exercise/437,https://app.strength.muscleandmotion.com/exercise/437,Gluteus Maximus; Hamstrings,Adductor Magnus,Erector Spinae; Quadratus Lumborum; Trapezius; Multifidus; Transversus Abdominis; Pelvic Diaphragm; Quadriceps Femoris,"The Romanian Deadlift (RDL) is a hip hinge exercise that targets the hamstrings and gluteus maximus by emphasizing a deep stretch at the bottom of the movement. Begin by setting the barbell on a rack at hip height or lifting it off the floor. If starting from the floor, the first repetition will initiate with the lowering phase. Stand tall with your feet hip-width apart, holding the barbell with a shoulder-width overhand grip. Keep your shoulders back, core engaged and maintain a slight knee bend. Initiate the movement by hinging at your hips and pushing them backward while keeping your back straight. Lower the barbell along the front of your legs, ensuring it stays close to your body until you feel a stretch in your hamstrings. Push through your heels and extend your hips to return to the starting position, squeezing your glutes at the top. Repeat the movement for the desired number of repetitions.",Barbell
Romanian Deadlift (Kettlebell),/exercise/484,https://app.strength.muscleandmotion.com/exercise/484,Gluteus Maximus; Hamstrings,,Erector Spinae; Transversus Abdominis; Latissimus Dorsi; Rhomboid Muscles; Trapezius; Gluteus Medius,"The Romanian deadlift with kettlebell is a hip hinge variation that emphasizes the hamstrings and gluteus maximus due to the increased stretch at the bottom of the movement. Place a kettlebell on the floor between your feet and stand with your feet hip-width apart. Bend your knees slightly, keep your back straight, and hinge at the hips to grasp the kettlebell with both hands. With your core engaged and shoulders back, push your hips forward to lift the kettlebell, bringing it up to thigh level. Slowly hinge at the hips again, lowering the kettlebell along your legs until you feel a stretch in your hamstrings. Pause at the bottom, then drive through your hips to return to standing. Repeat for the desired number of repetitions.",Kettlebell
Romanian Deadlift (Mini-Band),/exercise/1152,https://app.strength.muscleandmotion.com/exercise/1152,Gluteus Maximus; Hamstrings; Hip External Rotators (Deep Layer),,Abdominal Muscles; Rhomboid Muscles; Rhomboid Muscles; Trapezius; Intersegmental Muscles; Psoas Major; Quadriceps Femoris; Hip External Rotators (Deep Layer); Quadratus Lumborum; Transversus Abdominis; Rhomboid Major; Rhomboid Major; Latissimus Dorsi (Respiration); Gluteus Medius,"Romanian Deadlift (Mini-band) The Romanian Deadlift (RDL) starts in a standing position, with the bar on the thighs. Not like the Classical Deadlift, which begins with the bar on the floor (Dead-stop). Keep the bar in contact with the thighs on your way down and when going back up. Keep the back straight throughout the exercise and make sure the movement comes from the hip joint (hip hinge) and not the spine. In addition, the band gives sensory feedback through which the trainee can learn to maintain the knees in a straight line with the feet.",
Rotational Lunge (Dumbbell),/exercise/535,https://app.strength.muscleandmotion.com/exercise/535,Gluteus Maximus; Quadriceps Femoris; Hip External Rotators (Deep Layer),Hamstrings; Gastrocnemius,Abdominal Muscles; Erector Spinae; Diaphragm; Pelvic Diaphragm; External Oblique,"Start by standing with both feet together, holding a single dumbbell in your hand. Take a step backward and get into a lunge position while lowering the dumbbell towards your front leg and rotating your back. Push back to the starting position and repeat.",Dumbbell
Rotational Lunge (Medicine Ball),/exercise/536,https://app.strength.muscleandmotion.com/exercise/536,Gluteus Maximus; Quadriceps Femoris,Gastrocnemius; Hamstrings; Gluteus Medius; Piriformis (Hip Rotators) (3),Abdominal Muscles; Erector Spinae; Pelvic Diaphragm,"Start by standing with both feet together, holding a single Medicine Ball in your hand. Take a step backward and get into a lunge position while lowering the dumbbell towards your front leg and rotating your back. Push back to the starting position and repeat.",Dumbbell
Rotational Squat (Medicine Ball),/exercise/511,https://app.strength.muscleandmotion.com/exercise/511,Quadriceps Femoris; Gluteus Maximus; Hip External Rotators (Deep Layer),Hamstrings; Gastrocnemius; Soleus,Erector Spinae; Deltoid; Trapezius; Abdominal Muscles,"Stand with your feet shoulder-width apart, and hold the medicine ball in front of you. Go back to the starting position while returning your arm to the center. Repeat the exercise, and rotate the torso to the other side.",
Rotational Throw (Medicine Ball),/exercise/512,https://app.strength.muscleandmotion.com/exercise/512,External Oblique; Internal Oblique; Hip External Rotators (Deep Layer); Quadriceps Femoris; Gluteus Maximus; Pectoralis Major,Hamstrings; Anterior Deltoid; Adductor Magnus; Multifidus; Rotatores,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm,,
Rotational Throw Side to Side (Medicine Ball),/exercise/640,https://app.strength.muscleandmotion.com/exercise/640,Abdominal Muscles; External Oblique; Gluteus Maximus; Quadriceps Femoris,Hamstrings; Hip Adductor Muscles,Abdominal Muscles; Erector Spinae; Multifidus,,
Rotator Cuff Training with Mike Boyle,/exercise/620,https://app.strength.muscleandmotion.com/exercise/620,Teres Minor; Posterior Deltoid; Infraspinatus,,,,
Row (T Bar),/exercise/365,https://app.strength.muscleandmotion.com/exercise/365,Latissimus Dorsi; Rhomboid Muscles,Teres Major; Posterior Deltoid; Middle Trapezius; Levator Scapulae; Brachialis; Brachioradialis; Biceps Brachii,Erector Spinae; Gluteus Maximus; Quadriceps Femoris; Wrist Flexors; Subscapularis; Infraspinatus; Teres Minor; Supraspinatus; Abdominal Muscles; Transversospinales Muscles; Pelvic Diaphragm,The elbow flexors flex the elbow (the palm in midposition).,
Row with Rotation (Cable),/exercise/568,https://app.strength.muscleandmotion.com/exercise/568,External Oblique; Internal Oblique; Hip External Rotators (Deep Layer),Pectoralis Major (Respiration),Rhomboid Muscles; Erector Spinae; Trapezius; Gluteus Maximus; Hamstrings,Stand in front of a cable machine with a bar in your hands and attach the cable to one side of the bar. Pull the bar backward while rotating your spine. Slowly return to the starting position and repeat.,Cable; Machine
Rowing Machine,/exercise/1424,https://app.strength.muscleandmotion.com/exercise/1424,Quadriceps Femoris; Gluteus Maximus; Latissimus Dorsi (Respiration),Gastrocnemius; Soleus; Hamstrings; Posterior Deltoid; Teres Major; Rhomboid Muscles; Trapezius; Erector Spinae; Biceps Brachii; Brachialis; Brachioradialis,Quadratus Lumborum; Abdominal Muscles; Wrist Flexors; Wrist Extensors,"The Rowing Machine is a low-impact aerobic exercise that offers a comprehensive workout for various muscle groups, including the legs, arms, back, and core. The starting position (catch): Sit on the rowing machine seat and secure your feet on the footplates. Grasp the handle with both hands, arms extended, and keep your wrists flat. Slide forward on the seat until your shins are vertical. Lean slightly forward at the hips, keeping your back straight. Begin by pressing with your legs, then swing your back through the vertical position, and end with an arm pull while keeping your shoulders low and relaxed. The upper back is slightly leaning backward, with the core muscles engaged. The legs are extended, and the handle is held lightly below your ribs while your shoulders and your grip are relaxed. Start with straightening your arms, then lean from the hips towards the flywheel. Once your hands are past your knees, bend your legs and slide the seat forward. Return to the catch position wit",Machine
Russian Twist,/exercise/1345,https://app.strength.muscleandmotion.com/exercise/1345,External Oblique; Iliacus; Psoas Major; Internal Oblique,Sartorius; Tensor Fasciae Latae; Rectus Abdominis,Transversus Abdominis,"The Russian Twist is a core exercise that specifically targets the oblique muscles. It involves lifting your legs off the ground while twisting your torso from side to side. Sit on the ground with straight knees and feet raised slightly off the ground. Hold your hands together in front of you and lift your feet slightly off the ground. Return to the starting position and twist to the other side, touching the ground beside your other hip. Repeat for the desired number of repetitions or time.",
Sage Twist (Marichyasana),/exercise/16,https://app.strength.muscleandmotion.com/exercise/16,,,,,
Salmon Ladder,/exercise/696,https://app.strength.muscleandmotion.com/exercise/696,Latissimus Dorsi; Iliacus; Psoas Major; Abdominal Muscles,"Teres Major; Posterior Deltoid; Trapezius; Rhomboid Muscles; Triceps Brachii, Long Head; Pectoralis Major",Abdominal Muscles; Pelvic Diaphragm; Diaphragm; Multifidus,"The salmon ladder exercise is an explosive movement, challenging your shoulder extensors to pull your body up, your hip flexors for momentum, your core to maintain stability and your wrist flexors to keep hold of the bar.",
Sandball Carry,/exercise/1258,https://app.strength.muscleandmotion.com/exercise/1258,Abdominal Muscles; Erector Spinae; Gluteus Maximus; Gluteus Medius; Quadriceps Femoris; Biceps Brachii; Brachialis,Trapezius; Deltoid; Hamstrings; Gastrocnemius; Soleus,,"The Sandball Carry is a functional exercise that targets almost all your muscles, especially your upper and lower back muscles. Start by picking up a sandball and placing it in front of your chest. Crush the sandball towards your chest and walk forward with your back as tall as possible.",
